date,month,vendor,pickup_time,dropoff_time,duration,passengers,distance,start_long,start_lat,end_long,end_lat,payment_type,fare,surcharge,tip,tolls,total
2009-01-01,2009-01,CMT,2009-01-01D00:04:44.000000000,2009-01-01D00:11:09.000000000,0D00:06:25.000000000,1,1.9,-73.97122,40.7587,-73.98299,40.73512,CASH,7.4,0,0,0,7.4
2009-01-01,2009-01,CMT,2009-01-01D00:04:44.000000000,2009-01-01D00:33:21.000000000,0D00:28:37.000000000,1,3.1,-73.97673,40.765,-74.00396,40.73351,CASH,15.8,0,0,0,15.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:44.000000000,2009-01-01D00:16:57.000000000,0D00:12:13.000000000,3,2.7,-73.97738,40.7486,-74.0049,40.73006,CASH,9.8,0,0,0,9.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:44.000000000,2009-01-01D00:07:57.000000000,0D00:03:13.000000000,1,0.4,-73.98861,40.73417,-73.99038,40.73727,CASH,4.6,0,0,0,4.6
2009-01-01,2009-01,DDS,2009-01-01D00:04:45.000000000,2009-01-01D00:08:45.000000000,0D00:04:00.000000000,2,0.9,-73.99748,40.71396,-73.98919,40.71655,CREDIT,4.1,0.5,0.9,0,5.5
2009-01-01,2009-01,CMT,2009-01-01D00:04:45.000000000,2009-01-01D00:09:35.000000000,0D00:04:50.000000000,1,0.8,-73.98822,40.72014,-73.98165,40.72862,CASH,5.4,0,0,0,5.4
2009-01-01,2009-01,CMT,2009-01-01D00:04:47.000000000,2009-01-01D00:27:15.000000000,0D00:22:28.000000000,2,7.6,-73.98583,40.74732,-73.98456,40.67815,CASH,21.4,0,0,0,21.4
2009-01-01,2009-01,CMT,2009-01-01D00:04:47.000000000,2009-01-01D00:23:53.000000000,0D00:19:06.000000000,1,13.7,-73.98156,40.74113,-73.87238,40.89635,CASH,31,0,0,0,31
2009-01-01,2009-01,CMT,2009-01-01D00:04:48.000000000,2009-01-01D00:14:52.000000000,0D00:10:04.000000000,2,1.7,-74.00488,40.74078,-73.99302,40.73102,CASH,8.2,0,0,0,8.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:48.000000000,2009-01-01D00:08:10.000000000,0D00:03:22.000000000,1,1.2,-73.95737,40.76597,-73.9511,40.78018,CASH,5.4,0,0,0,5.4
